CustomerId,First Name,Last Name,Gender,DateOfBirth,Email,Address,City,State,Postal Code,Country,LoyaltyProgramID,Phone Number
1,Brian,Aguilar,F,08-11-1980,peteringram@example.net,796 Adams Fields Suite 770 New Brittanymouth  PA 95849,Harrismouth,Hawaii,95414,Kuwait,3,-2475
2,Billy,Nguyen,Other,23-07-1972,randallparker@example.net,75336 Foster Lane Suite 317 Port Maurice  MO 89136,Meganview,Georgia,80976,Monaco,1,(476)871-6040
3,Todd,Willis,F,12-09-1995,robert30@example.com,0735 Brittany Cove North James  SC 31065,North Matthewton,Kentucky,74276,Lesotho,3,-10750
4,Desiree,Garza,Other,27-01-1970,cle@example.com,8210 Anderson Plaza Port Melissa  TX 88958,Leeburgh,North Carolina,18151,Ireland,2,299.261.8648x87223
5,Mary,Foley,M,03-06-1991,deannatapia@example.com,587 Thomas Cove Perryfort  AZ 97218,East Mark,Ohio,17427,Nepal,1,(817)215-6949
6,Dana,Gomez,F,16-04-1978,ibutler@example.net,58037 Mark Mount New Timothy  PW 69430,East Allisonton,Iowa,30114,Bolivia,5,910.972.4695x0279
7,Michael,Gibson,F,17-09-1998,beancindy@example.com,7001 Brown Glens Apt. 072 Christopherport  NJ 27201,North Kristatown,Colorado,38928,Kyrgyz Republic,5,(505)687-0313x94625
8,Margaret,Hernandez,Other,10-02-1994,evansnina@example.net,72232 Kenneth Land Apt. 660 East Ryanburgh  HI 89599,Hallton,Pennsylvania,32919,Costa Rica,2,(337)738-2320x538
9,David,Sanchez,M,18-09-2017,cmitchell@example.com,8445 Molly Expressway Suite 722 South Annchester  IN 25584,Samanthaberg,Maine,37065,Botswana,5,7639238618
10,Eric,Greer,F,02-01-1975,tammyhoward@example.com,10144 Jessica Cliff Suite 750 Stephaniehaven  MP 37973,Davisland,Tennessee,66012,Sweden,3,580.542.8182
11,Blake,Andrews,F,25-11-1988,evelyn25@example.org,64211 Miller Port Marshallborough  WA 42615,Patricialand,Kansas,88321,Guyana,5,309-966-9302x1740
12,Matthew,Ruiz,M,21-10-1986,hancocksusan@example.net,Unit 2073 Box 9941 DPO AP 67977,West Shelbymouth,North Dakota,74736,Nauru,4,(840)390-4453x539
13,Mark,Francis,M,25-08-1991,swebb@example.org,6086 John Cliff Guzmanmouth  IN 25394,Whitechester,Missouri,33617,Saint Lucia,2,(241)455-0796x6940
14,Julie,Grant,M,09-06-1983,pagesandra@example.net,92893 Rita Greens Davisberg  ME 17117,Pottermouth,Nevada,43796,Czech Republic,4,-7203
15,James,Harris,M,22-08-1972,qcolon@example.net,02792 Wang Meadows Port Amy  FL 95067,Garymouth,Virginia,53028,Reunion,3,001-763-565-0536x0164
16,Linda,Velazquez,F,09-09-2016,maxlewis@example.com,04934 Jessica Lights Lake Nicholasside  FM 64541,West Richard,Montana,91608,Chile,5,-9779
17,Cody,Brown,M,11-10-1998,santanadebra@example.com,Unit 5231 Box 9972 DPO AE 96656,Ballardmouth,Georgia,8534,New Zealand,5,(516)810-2219x082
18,Dawn,Dalton,F,13-11-1989,amber83@example.com,775 Medina Islands Apt. 394 Lake Carol  MD 36853,Jaredborough,Colorado,66702,Samoa,4,437.890.0021x8637
19,Karina,Mendez,F,28-03-2002,katrina79@example.net,2683 Zachary Squares Suite 943 Kimland  MA 99856,Lake Laurafort,Idaho,37661,Isle of Man,1,715.300.9509
20,Joshua,Smith,M,13-05-2000,larrywells@example.com,1453 Calderon Falls Apt. 039 Jonesview  KS 60214,Port Cody,New York,7694,Turkey,2,(855)926-3422
21,Jacob,Gibson,Other,03-10-2003,heather78@example.com,99209 Williams Street Lynntown  CO 77847,North Elizabethbury,Maine,56578,Palestinian Territory,5,001-238-408-9697x61287
22,Jose,Stephens,M,29-10-1998,guerraallison@example.org,75237 Ricky Flat Suite 361 Harrisonmouth  CO 09094,Maddenstad,Delaware,34715,China,5,001-997-283-7633
23,Ryan,Alvarado,Other,08-07-2016,randolphlisa@example.org,687 Jason Skyway North John  NM 37963,West Lindsey,South Carolina,43983,Denmark,2,001-536-946-4805x885
24,Michael,Wilson,F,04-07-2014,stevenwilson@example.org,000 Annette Plains Suite 976 South Danielville  CO 75893,New Jonathanbury,Arkansas,89542,Timor-Leste,5,(462)318-4101
25,Carol,Smith,Other,23-05-1984,jonathan76@example.com,228 Barber Islands Apt. 822 Garnerstad  VT 53921,Nancyberg,Kentucky,41258,Trinidad and Tobago,3,001-261-986-9778
26,Vanessa,Johnston,F,02-03-2000,stephen92@example.net,USS Burns FPO AE 86975,South Patriciatown,Alabama,12143,Falkland Islands (Malvinas),4,8272038037
27,Jonathan,Fritz,F,12-06-2022,brandievans@example.com,026 Edwards Forge Tatemouth  ME 25201,Palmerfurt,Mississippi,86718,Dominican Republic,1,001-971-896-7579x45973
28,Scott,Walters,F,24-06-2024,kimberlywhite@example.net,3377 Eric Village Apt. 689 East Karen  MD 08041,Howardbury,Virginia,95453,Barbados,5,001-540-591-8542x1757
29,Karl,Chung,F,18-03-1990,melissawilson@example.net,77695 Ashley Squares Salinasstad  TN 45133,West Anthonybury,Florida,4111,France,5,(717)401-4387x9698
30,Tina,Howard,F,21-07-1991,rclarke@example.net,2852 Hawkins Stravenue Petersmouth  PR 30611,Lake Tyler,Illinois,10151,Mauritania,3,+1-734-834-3549x493
31,Tyler,Krause,F,07-07-2005,stevenshannah@example.org,615 Leonard Village Suite 330 Ericaside  FL 11888,Colemanmouth,Massachusetts,93552,Mongolia,5,4879284681
32,Anna,Strong,Other,21-02-1991,hayeswilliam@example.net,Unit 2976 Box 2292 DPO AP 45427,Lake Amber,Iowa,29309,Czech Republic,4,001-858-954-7219x75050
33,Anthony,Ross,Other,19-07-2022,nathanielreed@example.net,056 Tammy Rapid Suite 641 Thomasberg  FL 32824,Port Jay,Michigan,15455,North Macedonia,3,(797)646-9639x52386
34,Sarah,Ryan,M,20-11-2000,laceybranch@example.com,5303 Bell Rapid Tonyahaven  SD 45377,Mariafurt,Minnesota,98596,Turkey,3,499.966.9828
35,Margaret,Brown,F,31-05-1998,johnsondustin@example.com,565 Daniel Rue Laurenborough  NC 72324,New Stephen,Oklahoma,73517,Madagascar,5,691-372-8623
36,Kenneth,Rice,F,20-11-1978,lindsey00@example.net,76033 Logan Meadows Stevenville  RI 92236,Wilsonside,South Carolina,13107,Afghanistan,4,(200)580-4009
37,William,Boyd,M,01-04-1972,jonathon34@example.net,88107 Joanna Rapid East Tamaraland  MD 29799,Anthonytown,Minnesota,54551,Italy,3,859.390.5583x8910
38,Keith,Gallegos,M,01-02-1982,jenniferbaldwin@example.net,PSC 2890  Box 6716 APO AA 28017,New Matthew,Arkansas,62746,Korea,2,6397953153
39,Kara,Williams,F,13-07-1988,heather79@example.org,127 Pamela Trafficway Port Heather  OK 21425,Drewbury,North Carolina,39840,Zambia,4,358.480.4616
40,Robert,Pearson,M,16-04-2016,sanchezheather@example.net,35717 Nicole Forest Chambersview  AS 96881,Coltonmouth,California,6987,Jamaica,3,9503137729
41,Rachel,Duran,M,22-04-1989,franklinedward@example.net,8708 Kevin Roads Apt. 940 Meganland  WV 99563,Williamston,Nebraska,32959,Cote d'Ivoire,1,922.271.2483x767
42,Gloria,Morris,Other,17-06-2015,allison86@example.org,54292 Kenneth Mountain Apt. 272 Joelberg  PR 77902,Tuckerport,Maine,6830,Uzbekistan,4,001-379-526-4320x5092
43,Linda,Cooper,M,04-11-1987,yolandamorris@example.org,18282 Figueroa Points North Eddieberg  MN 87216,New Phillipton,North Dakota,689,Samoa,3,+1-711-722-5250x11611
44,Michael,Hinton,F,14-10-2021,scottwatts@example.org,3620 Sanchez Mews Apt. 504 East Toni  MN 88850,Port Hannahhaven,Indiana,73298,British Virgin Islands,2,325-398-3840x349
45,Wanda,Welch,Other,18-11-2008,yrussell@example.net,26785 Chen Trail Apt. 931 Juliafurt  KS 78134,West Nicholas,Florida,6464,Timor-Leste,1,+1-493-943-0991x02889
